feature,importance
Actinomyces,0.16447261
Lachnospira,0.15245421
Streptococcus,0.108631454
Parabacteroides gordonii,0.09947732
[Prevotella],0.08430435
Leptotrichia,0.045742936
Clostridium,0.02405003
Dialister,0.023480007
Bacteroides,0.022583745
Bacillus cereus,0.018245015
Bacteroides,0.017541677
Unknown,0.017184692
Unknown,0.014380089
Faecalibacterium prausnitzii,0.01412559
Aggregatibacter segnis,0.013888617
Unknown,0.013365149
Brachymonas denitrificans,0.012300924
Oscillospira,0.0116385715
Unknown,0.011498386
SMB53,0.011310022
Rhodococcus,0.010470855
Fusobacterium,0.00963263
Bacteroides uniformis,0.008690412
Faecalibacterium prausnitzii,0.008527191
Unknown,0.008243797
Bacteroides,0.00711209
Streptococcus,0.0061528753
Unknown,0.0061261067
Unknown,0.005858142
Gallibacterium,0.005373489
Unknown,0.005090279
Sphingomonas,0.0045738677
Bacteroides,0.0044630924
Acinetobacter,0.0043227687
Gemella,0.00327107
Blautia,0.0031928194
Corynebacterium,0.0031376188
Prevotella,0.0030231543
Oscillospira,0.0027482493
Unknown,0.002621363
Corynebacterium,0.0025820555
Unknown,0.0018542983
Bacillus,0.0010107982
Escherichia coli,0.00045660746
Campylobacter,0.0004444711
Unknown,0.0003444561
Unknown,0.0
Lactobacillus helveticus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Comamonas,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Oscillospira,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
ecb11,0.0
Unknown,0.0
Anaerococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Cetobacterium somerae,0.0
Unknown,0.0
Hymenobacter,0.0
Arcanobacterium,0.0
Unknown,0.0
Unknown,0.0
Aggregatibacter segnis,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Flavobacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Lardizabala biternata,0.0
Unknown,0.0
Unknown,0.0
Leptotrichia,0.0
Prevotella,0.0
Unknown,0.0
Roseococcus,0.0
Anaerococcus,0.0
Unknown,0.0
Anaerococcus,0.0
Mycobacterium,0.0
Roseococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Cetobacterium somerae,0.0
Mycobacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Corynebacterium,0.0
Rubrobacter,0.0
Aerococcus,0.0
Unknown,0.0
Unknown,0.0
Leptotrichia,0.0
Streptococcus,0.0
Mycoplasma,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Dialister,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Megasphaera,0.0
Roseococcus,0.0
Unknown,0.0
Sutterella,0.0
Unknown,0.0
Unknown,0.0
Bulleidia,0.0
Unknown,0.0
Unknown,0.0
Aggregatibacter segnis,0.0
Unknown,0.0
Ellin506,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Paracoccus marcusii,0.0
Oscillospira,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Mogibacterium,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Unknown,0.0
Unknown,0.0
Porphyromonas,0.0
Plesiomonas shigelloides,0.0
Treponema,0.0
Unknown,0.0
Oscillospira,0.0
Unknown,0.0
Porphyromonas,0.0
Unknown,0.0
Lactococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Treponema socranskii,0.0
Prevotella,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Treponema,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Mycoplasma,0.0
Lachnospira,0.0
Bacteroides,0.0
Corynebacterium,0.0
Lactococcus,0.0
Unknown,0.0
Unknown,0.0
Corynebacterium,0.0
Campylobacter,0.0
TG5,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Allobaculum,0.0
Unknown,0.0
Unknown,0.0
Capnocytophaga ochracea,0.0
Dialister,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Filifactor,0.0
Unknown,0.0
