feature,importance
Streptococcus,1.486071
Parabacteroides gordonii,0.70850253
Streptococcus,0.6785388
[Prevotella],0.67748076
Lachnospira,0.35503262
Bacteroides,0.33681226
Bacteroides,0.27163056
Unknown,0.2650696
Brachymonas denitrificans,0.25461462
Actinomyces,0.24232452
Faecalibacterium prausnitzii,0.16379392
Unknown,0.15059139
Gemella,0.12472575
Gallibacterium,0.09752476
Unknown,0.094307005
Clostridium,0.06738005
Faecalibacterium prausnitzii,0.066211164
Corynebacterium,0.062730946
Leptotrichia,0.048479937
Aggregatibacter segnis,0.043150563
Bacteroides,0.042994384
Sphingomonas,0.042460486
Bacteroides,0.038215555
Blautia,0.034438238
Rhodococcus,0.02976616
SMB53,0.027875412
Unknown,0.023454748
Oscillospira,0.02167352
Fusobacterium,0.021186993
Campylobacter,0.019170161
Unknown,0.017649656
Bacteroides uniformis,0.013682607
Unknown,0.012185574
Bacillus cereus,0.01158074
Oscillospira,0.010969211
Unknown,0.009465422
Dialister,0.009336922
Unknown,0.008747784
Prevotella,0.007490497
Unknown,0.0074306377
Escherichia coli,0.006181507
Unknown,0.00592265
Acinetobacter,0.0038649861
Bacillus,0.0035383964
Unknown,0.0034818992
Corynebacterium,0.0034244242
Unknown,0.0
Roseococcus,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Anaerococcus,0.0
Corynebacterium,0.0
Rubrobacter,0.0
Unknown,0.0
Mycoplasma,0.0
Streptococcus,0.0
Leptotrichia,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Arcanobacterium,0.0
Anaerococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Cetobacterium somerae,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
ecb11,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Aerococcus,0.0
Dialister,0.0
Unknown,0.0
Unknown,0.0
Roseococcus,0.0
Mycobacterium,0.0
Anaerococcus,0.0
Unknown,0.0
Acinetobacter,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Bacteroides,0.0
Unknown,0.0
Blautia,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Leptotrichia,0.0
Unknown,0.0
Unknown,0.0
Lardizabala biternata,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Blautia,0.0
Faecalibacterium prausnitzii,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Bulleidia,0.0
Unknown,0.0
Unknown,0.0
Sutterella,0.0
Unknown,0.0
Roseococcus,0.0
Prevotella,0.0
Treponema socranskii,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Dialister,0.0
Capnocytophaga ochracea,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Megasphaera,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Unknown,0.0
Porphyromonas,0.0
Aggregatibacter segnis,0.0
Oscillospira,0.0
Unknown,0.0
Treponema,0.0
Plesiomonas shigelloides,0.0
Porphyromonas,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
TG5,0.0
Campylobacter,0.0
Unknown,0.0
Aggregatibacter segnis,0.0
Unknown,0.0
Flavobacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Oscillospira,0.0
Anaerococcus,0.0
Allobaculum,0.0
Unknown,0.0
Unknown,0.0
Comamonas,0.0
Unknown,0.0
Unknown,0.0
Lactobacillus helveticus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Mycobacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Mycoplasma,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Hymenobacter,0.0
Unknown,0.0
Cetobacterium somerae,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Turicibacter,0.0
Unknown,0.0
Unknown,0.0
Prevotella,0.0
Unknown,0.0
B-42,0.0
Porphyromonas,0.0
Unknown,0.0
Leptotrichia,0.0
Unknown,0.0
DA101,0.0
AF12,0.0
Acanthamoeba culbertsoni,0.0
Gallicola,0.0
Unknown,0.0
Unknown,0.0
Bulleidia,0.0
Unknown,0.0
Unknown,0.0
Stenotrophomonas maltophilia,0.0
Unknown,0.0
Peptococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Porphyromonas,0.0
Unknown,0.0
Clostridium,0.0
Clostridium,0.0
Unknown,0.0
Candidatus Nitrososphaera gargensis,0.0
Capnocytophaga ochracea,0.0
Unknown,0.0
Unknown,0.0
Escherichia coli,0.0
Unknown,0.0
Unknown,0.0
Myxococcus,0.0
Clostridium,0.0
Unknown,0.0
Unknown,0.0
Odoribacter,0.0
Acidaminobacter,0.0
Bacteriovorax,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Planctomyces,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Lachnospira,0.0
Streptococcus,0.0
Unknown,0.0
Pseudomonas,0.0
Bacteroides,0.0
Corynebacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Tolumonas,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Treponema,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Ellin506,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Rubricoccus,0.0
Planctomyces,0.0
Unknown,0.0
Unknown,0.0
Corynebacterium durum,0.0
Unknown,0.0
Clostridium,0.0
Unknown,0.0
Hymenobacter,0.0
Blautia,0.0
Unknown,0.0
Unknown,0.0
Porphyromonas,0.0
Unknown,0.0
Unknown,0.0
Treponema,0.0
Kaistobacter,0.0
Brachybacterium,0.0
Unknown,0.0
Unknown,0.0
Campylobacter,0.0
Unknown,0.0
Methylobacterium,0.0
Unknown,0.0
Leptotrichia,0.0
Unknown,0.0
Unknown,0.0
Actinomyces europaeus,0.0
Unknown,0.0
Unknown,0.0
Pontibacter,0.0
Unknown,0.0
Unknown,0.0
Candidatus Nitrososphaera gargensis,0.0
Unknown,0.0
Rhodococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Unknown,0.0
Prevotella,0.0
Unknown,0.0
Cetobacterium somerae,0.0
Dyadobacter,0.0
Lactococcus,0.0
Unknown,0.0
Actinomyces,0.0
Unknown,0.0
Corynebacterium,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Arcanobacterium,0.0
Unknown,0.0
Brachymonas denitrificans,0.0
Unknown,0.0
Unknown,0.0
Leadbetterella,0.0
Unknown,0.0
Unknown,0.0
Dyadobacter,0.0
Unknown,0.0
Unknown,0.0
Filifactor,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Catonella,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Brevibacterium casei,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Porphyromonas,0.0
Unknown,0.0
Acidaminococcus,0.0
Unknown,0.0
Unknown,0.0
Anaerococcus,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Corynebacterium,0.0
Megamonas,0.0
Unknown,0.0
Aggregatibacter segnis,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Actinomyces,0.0
Pseudomonas,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Leptotrichia,0.0
Erythrobacter,0.0
Unknown,0.0
Stenotrophomonas maltophilia,0.0
Desulfovibrio,0.0
Unknown,0.0
